Снижают воспаление	Провоцируют воспаление
Овощи, в т.ч. листовые (?). Свекла, болгарский перец и перец чили, помидоры	Простые углеводы – сахар, сладкие фрукты, мед, молоко
Авокадо, крестоцветные	
Бобовые (?)	Омега – 6. Подсолнечное, кукурузное и соевое масло
Несладкие фрукты (?), ягоды (клубник, черника, малина, ежевика). Грейпфрут, запеченые яблоки, груши, ананас, виноград	Красное мясо к минимуму
Вишня, папайя и черника	
Зелень	Масло, яйца, субпродукты
Омега -3. Рыба (сельдь, скумбрия, лосось, сардины) оливковое масло, льняное масло, конопляное масло, семена чиа	Алкоголь
Мясо птицы, кролика	Колбаса, сыры
Грибы	Десерты
Кисломолочные продукты с пробиотиками (не сладкие)	Готовые соусы, пицца
Греча, чечевица и орехи, амарант, киноа, просо, цельнозерновой рис, семена тыквы, мак, семена подсолнечника, миндаль, морские водоросли, мангольд, шпинат, крапива, портулак, базилик, майоран и шалфей – магний	Фруктовые йогурты
Проростки	Каши быстрого приготовления
Куркума, имбирь, корица, гвоздика	Консервы
Вода с лимоном	Газировка
Шпинат, брокколи	Белый хлеб
Лук, чеснок	Полуфабрикаты
Бурые водоросли (комбу, вакаме и араме)	Белый рис
Травяные чаи, морсы без сахара, зеленый чай	
Ферментированные продукты (сырая квашеная капуста)	


ферментированные продукты, такие как сырая квашеная капуста, не только улучшают пищеварение и баланс кишечной флоры. Они также защищают от воспалений, укрепляя иммунную систему с помощью полезных бактериальных культур. Однако кисломолочные продукты, такие как кефир, следует употреблять с осторожностью. Они слизистые и закисляют организм, что, в свою очередь, может способствовать воспалению.
